OfferAgentName;AskedAgentName;Period;Iteration;AmountFlexibilityOffered;AmountPriceOffered;AmountFlexibilityAsked;AmountPriceAsked;AmountFlexibilityMatched;PriceMatched;CalculationTime
5;3;1;0;0,340437;0,034738;1,678717;0,000000;0,340437;0,034738;0,00
1;3;2;0;0,417089;0,048619;1,677376;0,000000;0,417089;0,048619;0,00
2;3;2;0;0,363010;0,057970;1,677376;0,000000;0,363010;0,057970;0,00
5;3;2;0;0,372981;0,079457;1,677376;0,000000;0,372981;0,079457;0,00
3;3;2;0;0,352429;0,059033;1,677376;0,000000;0,297381;0,059033;0,00
4;3;2;0;0,364579;0,052519;1,677376;0,000000;0,364579;0,052519;0,00
1;3;2;1;0,417089;0,048619;1,677376;0,000000;0,390095;0,048619;0,00
5;3;2;1;0,372981;0,079457;1,677376;0,000000;0,345995;0,079457;0,00
2;3;2;1;0,363010;0,057970;1,677376;0,000000;0,336012;0,057970;0,00
3;3;2;1;0,352429;0,059033;1,677376;0,000000;0,297381;0,059033;0,00
4;3;2;1;0,364579;0,052519;1,677376;0,000000;0,337589;0,052519;0,00
1;3;2;2;0,417089;0,048619;1,677376;0,000000;0,366883;0,048619;0,00
5;3;2;2;0,372981;0,079457;1,677376;0,000000;0,322788;0,079457;0,00
2;3;2;2;0,363010;0,057970;1,677376;0,000000;0,312797;0,057970;0,00
3;3;2;2;0,352429;0,059033;1,677376;0,000000;0,297381;0,059033;0,00
4;3;2;2;0,364579;0,052519;1,677376;0,000000;0,314378;0,052519;0,00
1;3;2;3;0,417089;0,048619;1,677376;0,000000;0,362038;0,048619;0,00
5;3;2;3;0,372981;0,079457;1,677376;0,000000;0,317943;0,079457;0,00
2;3;2;3;0,363010;0,057970;1,677376;0,000000;0,307964;0,057970;0,00
3;3;2;3;0,352429;0,059033;1,677376;0,000000;0,297381;0,059033;0,00
4;3;2;3;0,364579;0,052519;1,677376;0,000000;0,309535;0,052519;0,00
1;3;3;0;0,322623;0,053468;1,548956;0,000000;0,322623;0,053468;14043,00
5;3;3;0;0,349597;0,025456;1,548956;0,000000;0,349597;0,025456;14043,00
2;3;3;0;0,347705;0,049618;1,548956;0,000000;0,347705;0,049618;14043,00
3;3;3;0;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;0;0,343598;0,004154;1,548956;0,000000;0,343598;0,004154;14043,00
1;3;3;1;0,322623;0,053468;1,548956;0,000000;0,322623;0,053468;14043,00
5;3;3;1;0,349597;0,025456;1,548956;0,000000;0,326670;0,025456;14043,00
2;3;3;1;0,347705;0,049618;1,548956;0,000000;0,324770;0,049618;14043,00
4;3;3;1;0,343598;0,004154;1,548956;0,000000;0,343598;0,004154;14043,00
3;3;3;1;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
1;3;3;2;0,322623;0,053468;1,548956;0,000000;0,309326;0,053468;14043,00
5;3;3;2;0,349597;0,025456;1,548956;0,000000;0,306954;0,025456;14043,00
2;3;3;2;0,347705;0,049618;1,548956;0,000000;0,305049;0,049618;14043,00
3;3;3;2;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;2;0,343598;0,004154;1,548956;0,000000;0,330305;0,004154;14043,00
1;3;3;3;0,322623;0,053468;1,548956;0,000000;0,297891;0,053468;14043,00
5;3;3;3;0,349597;0,025456;1,548956;0,000000;0,296428;0,025456;14043,00
2;3;3;3;0,347705;0,049618;1,548956;0,000000;0,294521;0,049618;14043,00
3;3;3;3;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;3;0,343598;0,004154;1,548956;0,000000;0,318873;0,004154;14043,00
1;3;3;4;0,322623;0,053468;1,548956;0,000000;0,298214;0,053468;14043,00
5;3;3;4;0,349597;0,025456;1,548956;0,000000;0,296620;0,025456;14043,00
2;3;3;4;0,347705;0,049618;1,548956;0,000000;0,294714;0,049618;14043,00
3;3;3;4;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;4;0,343598;0,004154;1,548956;0,000000;0,319199;0,004154;14043,00
1;3;3;5;0,322623;0,053468;1,548956;0,000000;0,298214;0,053468;14043,00
5;3;3;5;0,349597;0,025456;1,548956;0,000000;0,302934;0,025456;14043,00
2;3;3;5;0,347705;0,049618;1,548956;0,000000;0,301031;0,049618;14043,00
3;3;3;5;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;5;0,343598;0,004154;1,548956;0,000000;0,319199;0,004154;14043,00
1;3;3;6;0,322623;0,053468;1,548956;0,000000;0,298214;0,053468;14043,00
5;3;3;6;0,349597;0,025456;1,548956;0,000000;0,308224;0,025456;14043,00
2;3;3;6;0,347705;0,049618;1,548956;0,000000;0,306322;0,049618;14043,00
4;3;3;6;0,343598;0,004154;1,548956;0,000000;0,319199;0,004154;14043,00
3;3;3;6;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
1;3;3;7;0,322623;0,053468;1,548956;0,000000;0,298214;0,053468;14043,00
5;3;3;7;0,349597;0,025456;1,548956;0,000000;0,311007;0,025456;14043,00
2;3;3;7;0,347705;0,049618;1,548956;0,000000;0,309107;0,049618;14043,00
3;3;3;7;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;7;0,343598;0,004154;1,548956;0,000000;0,319199;0,004154;14043,00
1;3;3;8;0,322623;0,053468;1,548956;0,000000;0,298214;0,053468;14043,00
5;3;3;8;0,349597;0,025456;1,548956;0,000000;0,311917;0,025456;14043,00
2;3;3;8;0,347705;0,049618;1,548956;0,000000;0,310016;0,049618;14043,00
3;3;3;8;0,349129;0,091091;1,548956;0,000000;0,311421;0,091091;14043,00
4;3;3;8;0,343598;0,004154;1,548956;0,000000;0,319199;0,004154;14043,00
1;3;3;9;0,322623;0,053468;1,548956;0,000000;0,298214;0,053468;14043,00
3;3;3;9;0,000000;0,000000;0,000000;0,000000;0,000000;0,000000;14043,00
4;3;3;9;0,343598;0,004154;1,548956;0,000000;0,319199;0,004154;14043,00
