Node 1;Node 2;Distanz;Generator;Storage;Consumption ;EV;HeatPump
1000;2000;108.46;0;0;3000;1;1
2000;3000;202.84;0;500;5000;1;0
2000;19000;609.76;0;500;5000;0;1
3000;4000;273.22;5000;500;3000;1;1
3000;23000;221.63;5000;500;3000;0;1
4000;5000;262.40;0;0;4000;0;1
5000;6000;122.10;5000;0;3000;0;0
6000;7000;534.19;5000;800;3000;1;1
6000;26000;492.61;5000;800;3000;1;1
7000;8000;140.57;8000;0;3000;1;0
8000;9000;97.09;0;500;3000;1;1
9000;10000;95.79;5000;0;3000;1;1
10000;11000;508.65;8000;500;3000;0;0
11000;12000;267.09;0;800;4000;0;1
12000;13000;681.20;8000;500;4000;1;1
12000;22000;50;8000;500;4000;1;1
13000;14000;184.64;8000;800;4000;0;0
14000;15000;169.20;8000;800;3000;0;0
15000;16000;133.99;8000;500;5000;0;1
16000;17000;77.58;8000;0;3000;1;1
17000;18000;136.6;0;500;4000;0;0
18000;;;8000;800;3000;1;0
19000;20000;66.48;0;0;5000;0;1
20000;21000;244.20;8000;0;4000;1;0
21000;8000;50;8000;800;5000;1;1
21000;22000;141.06;8000;800;5000;0;0
22000;;;5000;800;3000;1;0
23000;24000;111.35;5000;800;5000;1;0
24000;25000;111.61;5000;500;4000;0;1
25000;29000;200;8000;0;5000;0;0
26000;27000;351.86;8000;800;5000;0;0
27000;28000;94.43;0;500;4000;0;0
28000;29000;124.35;8000;0;4000;1;1
29000;30000;197.04;0;800;3000;1;0
30000;31000;102.63;5000;800;4000;0;0
31000;32000;322.06;8000;0;4000;0;1
32000;33000;293.25;0;0;3000;1;1
33000;;;0;800;5000;1;1
34000;35000;108.46;0;0;3000;1;1
35000;36000;202.84;0;500;5000;1;0
36000;52000;609.76;0;500;5000;0;1
37000;37000;273.22;5000;500;3000;1;1
38000;56000;221.63;5000;500;3000;0;1
39000;38000;262.40;0;0;4000;0;1
40000;39000;122.10;5000;0;3000;0;0
41000;40000;534.19;5000;800;3000;1;1
42000;59000;492.61;5000;800;3000;1;1
43000;41000;140.57;8000;0;3000;1;0
44000;42000;97.09;0;500;3000;1;1
45000;43000;95.79;5000;0;3000;1;1
46000;44000;508.65;8000;500;3000;0;0
47000;45000;267.09;0;800;4000;0;1
48000;46000;681.20;8000;500;4000;1;1
49000;;50;8000;500;4000;1;1
50000;47000;184.64;8000;800;4000;0;0
51000;48000;169.20;8000;800;3000;0;0
52000;49000;133.99;8000;500;5000;0;1
53000;50000;77.58;8000;0;3000;1;1
54000;51000;136.6;0;500;4000;0;0
55000;33000;;8000;800;3000;1;0
56000;53000;66.48;0;0;5000;0;1
57000;54000;244.20;8000;0;4000;1;0
58000;;50;8000;800;5000;1;1
59000;55000;141.06;8000;800;5000;0;0
60000;33000;;5000;800;3000;1;0
61000;57000;111.35;5000;800;5000;1;0
62000;58000;111.61;5000;500;4000;0;1
63000;;200;8000;0;5000;0;0
64000;60000;351.86;8000;800;5000;0;0
65000;61000;94.43;0;500;4000;0;0
66000;62000;124.35;8000;0;4000;1;1
67000;63000;197.04;0;800;3000;1;0
68000;64000;102.63;5000;800;4000;0;0
69000;65000;322.06;8000;0;4000;0;1
70000;66000;293.25;0;0;3000;1;1
71000;;;0;800;5000;1;1
72000;68000;108.46;0;0;3000;1;1
73000;69000;202.84;0;500;5000;1;0
74000;85000;609.76;0;500;5000;0;1
75000;70000;273.22;5000;500;3000;1;1
76000;89000;221.63;5000;500;3000;0;1
77000;71000;262.40;0;0;4000;0;1
78000;72000;122.10;5000;0;3000;0;0
79000;73000;534.19;5000;800;3000;1;1
80000;92000;492.61;5000;800;3000;1;1
81000;74000;140.57;8000;0;3000;1;0
82000;75000;97.09;0;500;3000;1;1
83000;76000;95.79;5000;0;3000;1;1
84000;77000;508.65;8000;500;3000;0;0
85000;78000;267.09;0;800;4000;0;1
86000;79000;681.20;8000;500;4000;1;1
87000;;50;8000;500;4000;1;1
88000;80000;184.64;8000;800;4000;0;0
89000;81000;169.20;8000;800;3000;0;0
90000;82000;133.99;8000;500;5000;0;1
91000;83000;77.58;8000;0;3000;1;1
92000;84000;136.6;0;500;4000;0;0
93000;;;8000;800;3000;1;0
94000;86000;66.48;0;0;5000;0;1
95000;87000;244.20;8000;0;4000;1;0
96000;;50;8000;800;5000;1;1
97000;88000;141.06;8000;800;5000;0;0
98000;66000;;5000;800;3000;1;0
99000;90000;111.35;5000;800;5000;1;0
100000;91000;111.61;5000;500;4000;0;1
101000;;200;8000;0;5000;0;0
102000;93000;351.86;8000;800;5000;0;0
103000;94000;94.43;0;500;4000;0;0
104000;95000;124.35;8000;0;4000;1;1
105000;96000;197.04;0;800;3000;1;0
106000;97000;102.63;5000;800;4000;0;0
107000;98000;322.06;8000;0;4000;0;1
108000;99000;293.25;0;0;3000;1;1
109000;;;0;800;5000;1;1
110000;101000;351.86;8000;800;5000;1;1
111000;102000;94.43;0;500;4000;1;0
112000;118000;124.35;8000;0;4000;0;1
113000;103000;197.04;0;800;3000;1;1
114000;111000;102.63;5000;800;4000;0;1
115000;104000;322.06;8000;0;4000;0;1
116000;105000;322.06;8000;0;4000;0;0
117000;106000;293.25;0;0;3000;1;1
118000;112000;;0;800;5000;1;1
119000;107000;;0;800;5000;1;0
