Period;Iteration;CPULoad;RAMLoad
1;0;83,6675;0,4834
2;0;65,7370;0,4798
5;0;89,8664;0,4776
8;0;88,5970;0,4789
4;1;72,6665;0,4830
7;1;81,0470;0,4824
10;1;77,2479;0,4819
0;2;76,0002;0,4844
3;2;82,2321;0,4849
6;2;87,7227;0,4845
9;2;100,0000;0,4844
0;3;79,1340;0,4847
3;3;84,3356;0,4846
6;3;76,2240;0,4841
9;3;88,8313;0,4843
0;4;84,3169;0,4847
3;4;100,0000;0,4799
6;4;87,0047;0,4816
9;4;86,2742;0,4817
0;5;65,1029;0,4823
3;5;89,2784;0,4824
6;5;86,3862;0,4829
9;5;84,2642;0,4829
0;6;82,7965;0,4830
3;6;85,4683;0,4831
6;6;88,3635;0,4841
9;6;88,2673;0,4844
0;7;73,4519;0,4849
3;7;65,1051;0,4856
6;7;85,8913;0,4861
9;7;60,7632;0,4881
0;8;84,2067;0,4890
3;8;99,9197;0,4887
6;8;86,6284;0,4891
9;8;100,0000;0,4888
0;9;86,3316;0,4887
3;9;83,2402;0,4893
6;9;83,7685;0,4899
9;9;81,9252;0,4904
0;10;87,0298;0,4902
3;10;46,2600;0,4900
6;10;79,0060;0,4902
9;10;81,4635;0,4906
0;11;67,7450;0,4913
3;11;86,1741;0,4912
6;11;81,6538;0,4910
9;11;88,4402;0,4913
0;12;95,5677;0,4917
3;12;80,2286;0,4921
6;12;95,3883;0,4922
9;12;88,1942;0,4923
0;13;81,6021;0,4928
3;13;84,2126;0,4930
6;13;78,8316;0,4930
9;13;72,2190;0,4931
0;14;80,0163;0,4935
3;14;87,1281;0,4936
6;14;83,7815;0,4938
9;14;80,9850;0,4941
0;15;75,2946;0,4947
3;15;73,4157;0,4950
6;15;86,2334;0,4951
9;15;85,2820;0,4953
0;16;71,2945;0,4957
3;16;77,7332;0,4963
6;16;77,1312;0,4969
9;16;74,2589;0,4983
0;17;77,7409;0,4991
3;17;71,9809;0,4990
6;17;81,2367;0,5074
9;17;68,3155;0,5140
1;18;74,2833;0,5205
4;18;75,5405;0,5093
7;18;84,8959;0,5082
