GlobalTime;Energy Total
20.09.2010 00:15;542.25
20.09.2010 00:30;218
20.09.2010 00:45;152
20.09.2010 01:00;246.75
20.09.2010 01:15;198
20.09.2010 01:30;134.5
20.09.2010 01:45;149.25
20.09.2010 02:00;151.75
20.09.2010 02:15;211.5
20.09.2010 02:30;95.75
20.09.2010 02:45;302.25
20.09.2010 03:00;125.25
20.09.2010 03:15;164.5
20.09.2010 03:30;125.5
20.09.2010 03:45;83.5
20.09.2010 04:00;67
20.09.2010 04:15;128.5
20.09.2010 04:30;181.25
20.09.2010 04:45;273
20.09.2010 05:00;313.5
20.09.2010 05:15;668
20.09.2010 05:30;2521.5
20.09.2010 05:45;314
20.09.2010 06:00;445.75
20.09.2010 06:15;702.25
20.09.2010 06:30;351.75
20.09.2010 06:45;3360
20.09.2010 07:00;1338.75
20.09.2010 07:15;273.5
20.09.2010 07:30;201
20.09.2010 07:45;99.25
20.09.2010 08:00;133
20.09.2010 08:15;224.75
20.09.2010 08:30;544
20.09.2010 08:45;358.5
20.09.2010 09:00;236.75
20.09.2010 09:15;466.25
20.09.2010 09:30;306.5
20.09.2010 09:45;130.5
20.09.2010 10:00;462.5
20.09.2010 10:15;328
20.09.2010 10:30;63.75
20.09.2010 10:45;299
20.09.2010 11:00;234.25
20.09.2010 11:15;504
20.09.2010 11:30;156
20.09.2010 11:45;61.25
20.09.2010 12:00;735.5
20.09.2010 12:15;1243.5
20.09.2010 12:30;575.25
20.09.2010 12:45;331.75
20.09.2010 13:00;814.25
20.09.2010 13:15;1140.5
20.09.2010 13:30;521.25
20.09.2010 13:45;685.5
20.09.2010 14:00;294.5
20.09.2010 14:15;907.75
20.09.2010 14:30;914
20.09.2010 14:45;336.75
20.09.2010 15:00;141
20.09.2010 15:15;260
20.09.2010 15:30;342.5
20.09.2010 15:45;585.25
20.09.2010 16:00;865
20.09.2010 16:15;247
20.09.2010 16:30;179
20.09.2010 16:45;74
20.09.2010 17:00;72.5
20.09.2010 17:15;510.5
20.09.2010 17:30;175.5
20.09.2010 17:45;57.25
20.09.2010 18:00;546.75
20.09.2010 18:15;394.25
20.09.2010 18:30;224.75
20.09.2010 18:45;5825
20.09.2010 19:00;1460
20.09.2010 19:15;229.5
20.09.2010 19:30;523.75
20.09.2010 19:45;552.5
20.09.2010 20:00;867
20.09.2010 20:15;628.75
20.09.2010 20:30;701.75
20.09.2010 20:45;586.75
20.09.2010 21:00;3368.25
20.09.2010 21:15;1137
20.09.2010 21:30;1342.75
20.09.2010 21:45;1401.5
20.09.2010 22:00;1578.75
20.09.2010 22:15;833.5
20.09.2010 22:30;164
20.09.2010 22:45;291
20.09.2010 23:00;401.5
20.09.2010 23:15;567
20.09.2010 23:30;902.25
20.09.2010 23:45;352.5
;70.5
